,GameID,Date,Teams,Points,Wagers,Opener,Pinnacle,Fivedimes,Bookmaker,BetOnline,Bovada,Heritage,Intertops,Youwager,Justbet,Sportsbetting,Gtbets,Sportbet,Nitrogensports,Betphoenix,Betmania,Skybook,Mybookie,Abcislands,Jazz,Sportsinteraction,Betcris,Sbr,Wagerweb,Thegreek,Bodog,Matchbook,Looselines,Bet365,Consensus_Odds,Consensus_Probs,Consensus_Minus_Alpha,Max_Odds,Max_Implied_Prob,Signal_Long,Signal_Short,Payout_if_Win_Long,Payout_if_Lose_Long,Payout_if_Win_Short,Payout_if_Lose_Short,Expected_Value_Long,Expected_Value_Short,Breakeven_Odds_Gross,Breakeven_Odds_Net_Comm
52,26,"Sat Jan 26, 2019",Lafayette,0,0%,-,-155,-,-,+300,-110,-,-,-825,-110,-,-,-900,-110,-,-,-,-110,-,-,-,-110,-,-,-930,-110,-,-,-,0.0,0.0,-0.04,0,0.0,0,1,0.0,-1,1,0.0,-1.04,1.04,3.8461538461538463,3.770739064856712
53,26,"Sat Jan 26, 2019",Boston University,0,100%,-,+135,-,-,-360,-110,-,-,+560,-110,-,-,+650,-110,-,-,-,-110,-,-,-,-110,-,-,+680,-110,-,-,-,0.0,0.0,-0.04,0,0.0,0,1,0.0,-1,1,0.0,-1.04,1.04,3.8461538461538463,3.770739064856712
54,27,"Sat Jan 26, 2019",Lehigh,0,100%,+415,-110,-,-,-,+125,-,-,-900,+125,-,-,-840,+125,-,-,-,+125,-,-,-900,+125,-,-,-800,+125,-,-,-900,0.0,0.0,-0.04,0,0.0,0,1,0.0,-1,1,0.0,-1.04,1.04,3.8461538461538463,3.770739064856712
55,27,"Sat Jan 26, 2019",Northwestern,0,0%,-525,-110,-,-,-,-145,-,-,+600,-145,-,-,+660,-145,-,-,-,-145,-,-,+650,-145,-,-,+600,-145,-,-,+600,0.0,0.0,-0.04,0,0.0,0,1,0.0,-1,1,0.0,-1.04,1.04,3.8461538461538463,3.770739064856712
56,28,"Sat Jan 26, 2019",Wisconsin,0,67%,+345,+125,-,-,-,-125,-,-,+280,-125,-,-,+328,-125,-,-,+303,-125,-,-,+280,-125,-,-,+260,-125,-,-,+290,85.84615384615384,0.40923580146684285,0.3692358014668429,328,0.23364485981308414,1,0,3.28,-1,1,-3.28,0.5803292302780874,-0.5803292302780874,170.82964220353352,174.24623504760422
57,28,"Sat Jan 26, 2019",South Alabama,0,33%,-430,-145,-,-,-,+105,-,-,-340,+105,-,-,-365,+105,-,-,-363,+105,-,-,-360,+105,-,-,-320,+105,-,-,-370,-125.61538461538461,0.630161868538524,0.5901618685385239,105,0.48780487804878053,1,0,1.05,-1,1,-1.05,0.20983183050397403,-0.20983183050397403,-143.99877005929545,-141.17526476401514
58,29,"Sat Jan 26, 2019",Louisiana-Monroe,0,0%,+115,-125,-,-,-,+105,-,-,-,+105,-,-,-,+105,-,-,-,+105,-,-,-,+105,-,-,+135,+105,-,-,-,0.0,0.0,-0.04,0,0.0,0,1,0.0,-1,1,0.0,-1.04,1.04,3.8461538461538463,3.770739064856712
59,29,"Sat Jan 26, 2019",Monmouth,0,100%,-135,+105,-,-,-,-125,-,-,-,-125,-,-,-,-125,-,-,-,-125,-,-,-,-125,-,-,-155,-125,-,-,-,0.0,0.0,-0.04,0,0.0,0,1,0.0,-1,1,0.0,-1.04,1.04,3.8461538461538463,3.770739064856712
60,30,"Sat Jan 26, 2019",Niagara,0,100%,-,+105,-,-,-,-110,-,-,-,-110,-,-,+135,-110,-,-,-,-110,-,-,-,-110,-,-,-,-110,-,-,+135,0.0,0.0,-0.04,0,0.0,0,1,0.0,-1,1,0.0,-1.04,1.04,3.8461538461538463,3.770739064856712
61,30,"Sat Jan 26, 2019",Hartford,0,0%,-,-125,-,-,-,-110,-,-,-,-110,-,-,-155,-110,-,-,-,-110,-,-,-,-110,-,-,-,-110,-,-,-155,0.0,0.0,-0.04,0,0.0,0,1,0.0,-1,1,0.0,-1.04,1.04,3.8461538461538463,3.770739064856712
62,31,"Sat Jan 26, 2019",Albany,0,38%,-,-110,-,-,-,-125,-,-,-,-125,-,-,-340,-125,-,-,-,-125,-,-,-,-125,-,-,-355,-125,-,-,-,0.0,0.0,-0.04,0,0.0,0,1,0.0,-1,1,0.0,-1.04,1.04,3.8461538461538463,3.770739064856712
63,31,"Sat Jan 26, 2019",Navy,0,62%,-,-110,-,-,-,+105,-,-,-,+105,-,-,+270,+105,-,-,-,+105,-,-,-,+105,-,-,+285,+105,-,-,-,0.0,0.0,-0.04,0,0.0,0,1,0.0,-1,1,0.0,-1.04,1.04,3.8461538461538463,3.770739064856712
64,32,"Sat Jan 26, 2019",Holy Cross,0,0%,-,-125,-,-,-,+650,-,-,-,+650,-,-,-340,+650,-,-,-,+650,-,-,-,+650,-,-,-,+650,-,-,-360,0.0,0.0,-0.04,0,0.0,0,1,0.0,-1,1,0.0,-1.04,1.04,3.8461538461538463,3.770739064856712
