,GameID,Date,Teams,Points,Wagers,Opener,Pinnacle,Fivedimes,Bookmaker,BetOnline,Bovada,Heritage,Intertops,Youwager,Justbet,Sportsbetting,Gtbets,Sportbet,Nitrogensports,Betphoenix,Betmania,Skybook,Mybookie,Abcislands,Jazz,Sportsinteraction,Betcris,Sbr,Wagerweb,Thegreek,Bodog,Matchbook,Looselines,Bet365,Consensus_Odds,Consensus_Probs,Consensus_Minus_Alpha,Max_Odds,Max_Implied_Prob,Signal_Long,Signal_Short,Expected_Value_Long,Kelly_Long,Breakeven_Odds_Gross,Breakeven_Odds_Gross_Decimal,Breakeven_Odds_Net_Comm_Long,Kelly_Long_2ticks,Kelly_Long_5ticks,Kelly_Long_30ticks,Breakeven_Odds_Net_Comm_Short,Kelly_Short_2ticks,Kelly_Short_5ticks
52,17,"Saturday, February 16, 2019 - Soccer",Cagliari Calcio,0,0%,-,-,-,-,+685,-,-,-,+540,-,-,-,+580,-,-,-,+700,-,-,-,-,-,-,-,-,-,-,-,-,0.0,0.0,-0.02,0,0.0,0,1,-1.02,0.0,1.9608,1.0196,1.0192233756247597,-26.0249,-14.7549,-3.2153,1.0200080032012806,1.02,1.0194
53,17,"Saturday, February 16, 2019 - Soccer",Parma Calcio 1913 S.r.l.,0,0%,-,-,-,-,+346,-,-,-,+305,-,-,-,+320,-,-,-,+335,-,-,-,-,-,-,-,-,-,-,-,-,0.0,0.0,-0.02,0,0.0,0,1,-1.02,0.0,1.9608,1.0196,1.0192233756247597,-26.0249,-14.7549,-3.2153,1.0200080032012806,1.02,1.0194
54,18,"Saturday, February 16, 2019 - Soccer",Draw,0,100%,-,-,-,-,-285,-,-,-,-278,-,-,-,-,-,-,-,-250,-,-,-,-,-,-,-,-256,-,-,-,-,0.0,0.0,-0.02,0,0.0,0,1,-1.02,0.0,1.9608,1.0196,1.0192233756247597,-26.0249,-14.7549,-3.2153,1.0200080032012806,1.02,1.0194
55,18,"Saturday, February 16, 2019 - Soccer",Atalanta Bergamasca,0,0%,-,-,-,-,+702,-,-,-,+650,-,-,-,-,-,-,-,+700,-,-,-,-,-,-,-,+540,-,-,-,-,0.0,0.0,-0.02,0,0.0,0,1,-1.02,0.0,1.9608,1.0196,1.0192233756247597,-26.0249,-14.7549,-3.2153,1.0200080032012806,1.02,1.0194
56,18,"Saturday, February 16, 2019 - Soccer",AC Milan,0,0%,-,-,-,-,+341,-,-,-,+333,-,-,-,-,-,-,-,+335,-,-,-,-,-,-,-,+305,-,-,-,-,0.0,0.0,-0.02,0,0.0,0,1,-1.02,0.0,1.9608,1.0196,1.0192233756247597,-26.0249,-14.7549,-3.2153,1.0200080032012806,1.02,1.0194
57,19,"Saturday, February 16, 2019 - Soccer",Draw,0,100%,-,-,-,-,-270,-,-,-,-,-,-,-,-274,-,-,-,-250,-,-,-,-278,-,-,-,-271,-,-,-,-,0.0,0.0,-0.02,0,0.0,0,1,-1.02,0.0,1.9608,1.0196,1.0192233756247597,-26.0249,-14.7549,-3.2153,1.0200080032012806,1.02,1.0194
58,19,"Sunday, February 17, 2019 - Soccer",Spal 2013,0,0%,-,-,-,-,+580,-,-,-,-,-,-,-,+685,-,-,-,+700,-,-,-,+673,-,-,-,+756,-,-,-,-,0.0,0.0,-0.02,0,0.0,0,1,-1.02,0.0,1.9608,1.0196,1.0192233756247597,-26.0249,-14.7549,-3.2153,1.0200080032012806,1.02,1.0194
59,19,"Sunday, February 17, 2019 - Soccer",ACF Fiorentina,0,0%,-,-,-,-,+320,-,-,-,-,-,-,-,+346,-,-,-,+335,-,-,-,+321,-,-,-,+362,-,-,-,-,0.0,0.0,-0.02,0,0.0,0,1,-1.02,0.0,1.9608,1.0196,1.0192233756247597,-26.0249,-14.7549,-3.2153,1.0200080032012806,1.02,1.0194
60,20,"Sunday, February 17, 2019 - Soccer",Draw,0,100%,-,-,-,-,-293,-,-,-,-293,-,-,-,-293,-,-,-,-293,-,-,-,-293,-,-,-,-293,-,-,-,-293,0.0,0.0,-0.02,0,0.0,0,1,-1.02,0.0,1.9608,1.0196,1.0192233756247597,-26.0249,-14.7549,-3.2153,1.0200080032012806,1.02,1.0194
61,20,"Sunday, February 17, 2019 - Soccer",FC Empoli,0,0%,-,-,-,-,+582,-,-,-,+582,-,-,-,+582,-,-,-,+582,-,-,-,+582,-,-,-,+582,-,-,-,+582,0.0,0.0,-0.02,0,0.0,0,1,-1.02,0.0,1.9608,1.0196,1.0192233756247597,-26.0249,-14.7549,-3.2153,1.0200080032012806,1.02,1.0194
